title;price;sales;release_date;retail_price
Nike Dunk Low LX Year of the Dragon (2024) (Women's);108;1;09/03/2024;135
Jordan 1 Low Dune Red;100;0;15/02/2024;125
Jordan 3 Retro 'Craft Ivory';180;24;03/02/2024;210
Nike Air Force 1 Low '07 Year of the Dragon (2024);153;4;01/02/2024;135
"Nike SB Dunk Low Court Purple ""2021/2024""";140;2;27/01/2024;115
"Nike Kobe 4 Protro ""Black Mamba""";153;70;27/12/2023;180
Nike Kobe 6 Protro 'Reverse Grinch';227;141;15/12/2023;190
Nike Dunk Low Retro From Nike To You Midnight Navy;91;5;13/12/2023;115
"Jordan 11 Retro DMP ""Gratitude"" (2023)";204;293;09/12/2023;230
adidas originals Samba OG Cloud White Core Black;86;121;01/12/2023;100
Nike Air Force 1 '07 LX CN Sail Gold Mini Swooshes (Women's);114;2;01/12/2023;120
"Nike Dunk Low SP ""University Red""";120;70;24/10/2023;110
"Nike Dunk Low SP ""University Red""";120;70;24/10/2023;110
Jordan 1 Low Galactic Jade (Women's);106;1;18/10/2023;115
"Nike Dunk Low ""Polar Blue""";101;34;14/10/2023;115
Nike Dunk Low Athletic Department Deep Jungle;101;505;01/10/2023;120
Jordan 1 Low Alternate Royal Toe;100;30;20/09/2023;115
Nike Air Force 1 Low '07 White Honeydew;103;0;16/09/2023;115
Jordan 4 Retro Red Cement;222;155;09/09/2023;210
"Nike Air Zoom G.T. Cut 2 EP ""Hyper Pink""";146;8;10/08/2023;170
"Nike Air Zoom G.T. Cut 2 EP ""Hyper Pink""";146;8;10/08/2023;170
"Air Jordan 1 Low OG ""Black Toe""";118;77;04/08/2023;140
Jordan 1 Low Black University Blue;100;159;01/08/2023;110
Nike Dunk Low Cacao Wow (Women's);101;201;28/07/2023;115
Jordan Legacy 312 Low 'White Game Royal University Red';112;4;26/07/2023;130
Jordan 1 Low SE Philippines;114;8;26/07/2023;120
Air Jordan 1 Low SE Brown Elephant;137;66;21/07/2023;120
Nike Zoom Vomero 5 Triple Black (2023);107;17;20/07/2023;160
Jordan 1 Low 'Sky J Purple';108;19;20/07/2023;110
Nike V2K Run Summit White Metallic Silver (Women's);99;188;13/07/2023;110
Jordan 1 Mid Panda (Women's);121;7;20/06/2023;125
Nike Dunk Low SE Gone Fishing Chinook Salmon Skate shoes;125;4;16/06/2023;110
Jordan 1 Low Sport Blue Gym Red (Women's);97;8;09/05/2023;110
Nike Ja 1 Family Trivia Male;131;1;04/05/2023;91
Nike Air Max 97 Triple White Wolf Grey (2017/2023);123;16;01/05/2023;175
"Jordan Air Jordan 1 Low ""Lucky Green""";88;41;01/05/2023;110
Jordan 1 Retro Low OG SP Travis Scott Olive (Women's);508;47;26/04/2023;150
Jordan 1 Low Aquatone;95;14;01/04/2023;110
Jordan 11 Retro Low Cement Grey;180;25;01/04/2023;190
Nike Air Force 1 '07 Low White University Blue Sole;122;5;22/03/2023;110
"Nike SB x Jordan Air Jordan 4 Retro ""Pine Green""";323;296;21/03/2023;225
"Nike Dunk Low ""Team Gold""";93;62;14/03/2023;110
"Jordan 1 Low ""Panda""  (Women's)";123;49;10/03/2023;110
"Nike Dunk Low ""Light Orewood Brown""";133;259;09/03/2023;120
Nike Air Dunk 85 Athletic Department;100;2;04/03/2023;110
"Nike Dunk SB Low Pro Iso ""White Gum""";140;39;01/03/2023;110
Jordan 1 Mid SE Ice Blue (2023);142;13;01/03/2023;135
Nike Air Force 1 Low SP AMBUSH Black;206;1;28/02/2023;190
